round_id,train_loss,test_loss,accuracy,epoch_time_sec,cumulative_time_sec,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9
1,0.161657,0.057569,0.9823,7.994,7.994,0.978571,0.993833,0.995155,0.99505,0.994908,0.984305,0.990605,0.955253,0.943532,0.990089
2,0.049543,0.032733,0.9894,8.065,16.059,0.994898,0.98326,0.994186,0.993069,0.982688,0.986547,0.984342,0.988327,0.992813,0.994054
3,0.036981,0.032589,0.988,8.049,24.108,0.996939,0.993833,0.997093,0.99505,0.97556,0.987668,0.985386,0.987354,0.974333,0.985134
4,0.029216,0.030668,0.9898,7.996,32.103,0.99898,1.0,0.991279,0.991089,0.986762,0.994395,0.975992,0.981518,0.99076,0.986125
5,0.023766,0.027646,0.9909,7.86,39.963,0.995918,0.999119,0.98062,0.99505,0.992872,0.994395,0.984342,0.993191,0.99076,0.982161
6,0.020076,0.024554,0.992,7.718,47.68,0.997959,0.999119,0.992248,0.99505,0.984725,0.986547,0.991649,0.9893,0.998973,0.983152
7,0.01824,0.023404,0.9932,7.817,55.497,0.997959,0.999119,0.995155,0.99703,0.997963,0.988789,0.98643,0.990272,0.995893,0.982161
8,0.014094,0.031688,0.9907,7.784,63.281,0.995918,1.0,1.0,0.99703,0.986762,0.987668,0.980167,0.97179,0.99384,0.992071
9,0.013074,0.02761,0.9902,7.8,71.081,0.992857,0.995595,0.993217,0.988119,0.98167,0.988789,0.992693,0.987354,0.994867,0.986125
10,0.012431,0.028765,0.9913,7.825,78.906,0.997959,0.993833,0.989341,0.99802,0.983707,0.983184,0.988518,0.992218,0.997947,0.987116
11,0.008585,0.023948,0.9934,7.781,86.686,0.996939,0.999119,0.996124,0.99505,0.992872,0.992152,0.985386,0.993191,0.992813,0.989098
12,0.010011,0.02348,0.9924,7.827,94.513,0.994898,0.999119,0.993217,0.993069,0.991853,0.995516,0.994781,0.9893,0.994867,0.977205
13,0.007848,0.027936,0.993,7.839,102.352,0.995918,0.997357,0.995155,0.99505,0.997963,0.985426,0.989562,0.995136,0.992813,0.984143
14,0.008564,0.026338,0.9922,7.811,110.163,0.995918,0.996476,0.993217,0.990099,0.997963,0.993274,0.989562,0.993191,0.99076,0.981169
15,0.006205,0.024342,0.9927,7.816,117.979,0.997959,0.997357,0.997093,0.99802,0.990835,0.992152,0.987474,0.985409,0.99076,0.989098
16,0.006846,0.024949,0.9933,7.776,125.755,0.997959,0.998238,0.997093,0.99505,0.995927,0.995516,0.989562,0.985409,0.994867,0.983152
17,0.006508,0.025906,0.9931,7.782,133.537,0.997959,0.998238,0.99031,0.99802,0.997963,0.983184,0.988518,0.993191,0.995893,0.986125
18,0.006313,0.026157,0.993,7.726,141.263,0.997959,1.0,0.993217,0.99703,0.997963,0.991031,0.992693,0.988327,0.986653,0.984143
19,0.005324,0.022258,0.9935,7.721,148.984,0.993878,0.998238,0.992248,0.994059,0.996945,0.993274,0.992693,0.993191,0.994867,0.985134
20,0.005519,0.029647,0.9929,7.723,156.708,1.0,0.995595,0.991279,0.99505,0.996945,0.992152,0.989562,0.996109,0.989733,0.982161
