round_id,accuracy,round_wallclock_sec,cumulative_sec
1,0.5961,7.54,8.687
2,0.7133,7.348,17.204
3,0.7726,7.336,25.655
4,0.7819,7.333,34.115
5,0.7838,7.31,42.566
6,0.801,7.287,50.96
7,0.8023,7.006,59.084
8,0.8099,7.233,67.434
9,0.8143,7.091,75.648
10,0.8138,6.989,83.717
11,0.8095,6.911,91.729
12,0.8052,7.091,99.883
13,0.8163,7.131,108.103
14,0.8124,7.003,116.202
15,0.8129,7.118,124.422
16,0.8123,7.028,132.521
17,0.8126,7.031,140.65
18,0.8138,6.911,148.634
19,0.8125,6.83,156.527
20,0.8145,6.85,164.449
21,0.8142,6.945,172.494
22,0.814,6.918,180.49
23,0.8141,6.842,188.427
24,0.8161,6.845,196.368
25,0.8133,6.932,204.406
26,0.8191,7.097,212.572
27,0.8193,7.069,220.727
28,0.816,7.062,228.914
29,0.8163,7.356,237.417
30,0.8164,7.44,245.892
