round_id,accuracy,round_wallclock_sec,cumulative_sec
1,0.6463,25.464,26.585
2,0.6938,25.191,52.846
3,0.7435,26.531,80.457
4,0.7527,25.632,107.086
5,0.7598,25.895,134.055
6,0.766,24.783,159.88
7,0.7848,25.741,186.643
8,0.7987,26.097,213.794
9,0.7994,26.61,241.482
10,0.7975,25.952,268.489
11,0.7976,25.349,294.872
12,0.8038,25.537,321.483
13,0.803,26.623,349.144
14,0.8111,26.046,376.274
15,0.8023,27.384,404.696
16,0.8083,26.422,432.198
17,0.8144,26.781,460.005
18,0.8122,27.109,488.162
19,0.8117,26.067,515.282
20,0.811,26.703,543.054
21,0.8083,26.027,570.143
22,0.8159,26.457,597.661
23,0.8103,27.094,625.831
24,0.8114,26.319,653.219
25,0.8166,26.765,681.067
26,0.8095,26.184,708.327
27,0.8087,27.216,736.629
28,0.8088,26.617,764.294
29,0.804,25.173,790.541
30,0.8137,25.868,817.461
31,0.8168,26.499,844.998
32,0.8125,26.43,872.477
33,0.8111,26.24,899.784
34,0.8118,26.169,927.016
35,0.8154,25.98,954.038
36,0.8131,26.277,981.377
37,0.8135,26.748,1009.196
38,0.8175,26.6,1036.869
39,0.8139,26.22,1064.155
40,0.8154,26.203,1091.423
41,0.812,27.088,1119.592
42,0.8159,26.2,1146.866
43,0.8212,26.511,1174.446
44,0.8142,26.456,1201.969
45,0.8103,25.813,1228.847
46,0.8148,26.903,1256.817
47,0.8151,27.333,1285.216
48,0.8192,25.886,1312.135
49,0.8168,26.503,1339.707
50,0.8171,26.069,1366.851
51,0.8229,26.215,1394.143
52,0.8148,26.424,1421.64
53,0.8172,25.549,1448.269
54,0.8207,26.296,1475.633
55,0.8175,26.361,1503.038
56,0.8127,26.275,1530.387
57,0.8195,26.591,1558.028
58,0.8186,26.226,1585.292
59,0.8233,26.393,1612.719
60,0.8194,25.734,1639.519
