round_id,train_loss,test_loss,accuracy,epoch_time_sec,cumulative_time_sec,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9
1,1.325839,1.055342,0.635,7.857,7.857,0.634,0.715,0.489,0.426,0.638,0.528,0.556,0.785,0.878,0.701
2,0.952467,1.014596,0.6477,8.556,16.413,0.706,0.755,0.42,0.453,0.668,0.257,0.671,0.928,0.853,0.766
3,0.783339,0.735387,0.7442,8.494,24.908,0.769,0.837,0.567,0.571,0.727,0.724,0.725,0.792,0.842,0.888
4,0.671234,0.702488,0.7603,7.702,32.61,0.839,0.905,0.579,0.553,0.679,0.786,0.772,0.853,0.833,0.804
5,0.589145,0.666135,0.7732,8.317,40.926,0.843,0.838,0.686,0.624,0.799,0.556,0.799,0.846,0.874,0.867
6,0.527809,0.660124,0.7774,8.371,49.298,0.792,0.792,0.568,0.684,0.819,0.652,0.843,0.839,0.915,0.87
7,0.471674,0.613729,0.7924,8.1,57.398,0.873,0.907,0.697,0.504,0.794,0.764,0.872,0.805,0.848,0.86
8,0.423611,0.640054,0.7861,8.097,65.495,0.888,0.881,0.683,0.655,0.753,0.687,0.784,0.839,0.865,0.826
9,0.387705,0.638044,0.7907,8.118,73.613,0.844,0.886,0.648,0.688,0.685,0.758,0.824,0.838,0.852,0.884
10,0.351027,0.613785,0.7979,7.777,81.39,0.854,0.818,0.709,0.562,0.83,0.697,0.882,0.834,0.876,0.917
11,0.315121,0.622073,0.804,7.66,89.05,0.813,0.89,0.629,0.732,0.81,0.73,0.846,0.841,0.873,0.876
12,0.283058,0.613486,0.8095,7.665,96.716,0.872,0.894,0.735,0.653,0.745,0.73,0.864,0.851,0.875,0.876
13,0.261028,0.654263,0.8033,7.74,104.456,0.849,0.889,0.652,0.711,0.774,0.709,0.877,0.8,0.9,0.872
14,0.242353,0.684845,0.7957,8.451,112.907,0.848,0.933,0.765,0.657,0.805,0.647,0.811,0.779,0.9,0.812
15,0.220564,0.690756,0.8009,8.344,121.251,0.861,0.939,0.65,0.695,0.789,0.713,0.794,0.877,0.881,0.81
16,0.211193,0.718468,0.7922,8.264,129.515,0.829,0.781,0.654,0.71,0.784,0.654,0.912,0.833,0.878,0.887
17,0.190198,0.692917,0.8073,8.392,137.907,0.875,0.891,0.669,0.628,0.813,0.709,0.863,0.879,0.901,0.845
18,0.172385,0.746828,0.7974,8.45,146.357,0.861,0.894,0.782,0.589,0.777,0.658,0.823,0.853,0.854,0.883
19,0.162707,0.7088,0.8008,8.454,154.811,0.866,0.907,0.732,0.602,0.767,0.721,0.867,0.827,0.883,0.836
20,0.1493,0.773601,0.8049,8.146,162.957,0.856,0.894,0.673,0.609,0.752,0.708,0.928,0.874,0.905,0.85
21,0.143132,0.785228,0.7984,8.039,170.996,0.837,0.9,0.649,0.67,0.74,0.755,0.844,0.821,0.9,0.868
22,0.136242,0.787975,0.8067,8.126,179.122,0.865,0.901,0.741,0.562,0.767,0.745,0.872,0.846,0.881,0.887
23,0.126988,0.798076,0.7988,7.869,186.991,0.831,0.904,0.706,0.649,0.763,0.726,0.818,0.868,0.89,0.833
24,0.12042,0.796449,0.8076,7.671,194.662,0.836,0.924,0.719,0.617,0.764,0.772,0.886,0.824,0.884,0.85
25,0.114097,0.808258,0.8089,7.671,202.333,0.832,0.931,0.694,0.755,0.757,0.633,0.872,0.837,0.904,0.874
