round_id,num_clients_received,round_status,accuracy,test_loss,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9,aggregation_time_ms,eval_time_ms,round_wallclock_sec,model_bytes,client_0_train_loss,client_0_num_samples,client_0_download_ms,client_0_train_ms,client_1_train_loss,client_1_num_samples,client_1_download_ms,client_1_train_ms
1,2,ok,0.6272,1.215191,0.725,0.691,0.496,0.441,0.66,0.355,0.787,0.617,0.775,0.725,4.4,1936.62,8.81,2492491,1.146959,25000,11.96,8734.67,1.119967,25000,21.57,8289.34
2,2,ok,0.729,0.78832,0.649,0.863,0.556,0.541,0.667,0.684,0.833,0.759,0.926,0.812,1.49,1842.12,9.34,2492491,0.862227,25000,18.97,8803.93,0.856448,25000,36.19,8308.67
3,2,ok,0.7621,0.690275,0.764,0.918,0.655,0.566,0.76,0.632,0.846,0.826,0.878,0.776,1.55,1805.35,9.22,2492491,0.689167,25000,13.85,8683.42,0.674457,25000,11.2,8206.56
4,2,ok,0.7778,0.649018,0.79,0.866,0.615,0.618,0.8,0.549,0.922,0.826,0.933,0.859,1.92,1801.23,8.94,2492491,0.566552,25000,15.23,8391.99,0.554072,25000,13.22,8209.18
5,2,ok,0.7926,0.61046,0.778,0.886,0.633,0.627,0.784,0.747,0.899,0.824,0.84,0.908,1.5,1759.13,9.31,2492491,0.480645,25000,17.01,8765.47,0.472751,25000,13.64,8368.03
6,2,ok,0.801,0.590551,0.81,0.893,0.677,0.58,0.856,0.757,0.852,0.794,0.905,0.886,1.54,1789.6,9.2,2492491,0.408696,25000,15.15,8643.1,0.397079,25000,13.3,8307.14
7,2,ok,0.8074,0.576327,0.847,0.926,0.684,0.679,0.788,0.709,0.872,0.819,0.915,0.835,2.24,1783.63,9.3,2492491,0.3405,25000,13.76,8753.39,0.343249,25000,11.65,8221.21
8,2,ok,0.8123,0.593726,0.84,0.865,0.733,0.648,0.787,0.719,0.893,0.831,0.921,0.886,1.5,1769.75,9.41,2492491,0.284199,25000,13.02,8871.08,0.293556,25000,13.27,8227.82
9,2,ok,0.804,0.625667,0.849,0.899,0.781,0.653,0.716,0.726,0.871,0.825,0.902,0.818,1.53,1807.36,8.92,2492491,0.254247,25000,26.64,8367.35,0.257326,25000,10.81,8217.79
10,2,ok,0.8093,0.615322,0.828,0.885,0.718,0.63,0.811,0.768,0.857,0.793,0.911,0.892,1.4,1794.77,9.01,2492491,0.216381,25000,15.92,8469.37,0.219069,25000,31.45,8207.91
