round_id,num_clients_received,round_status,accuracy,test_loss,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9,aggregation_time_ms,eval_time_ms,round_wallclock_sec,model_bytes,client_0_train_loss,client_0_num_samples,client_0_download_ms,client_0_train_ms,client_1_train_loss,client_1_num_samples,client_1_download_ms,client_1_train_ms
1,2,ok,0.6196,1.224255,0.737,0.602,0.444,0.407,0.58,0.523,0.789,0.588,0.709,0.817,4.58,1796.86,11.34,2492491,1.145805,25000,11.33,8541.56,1.122104,25000,11.3,9347.33
2,2,ok,0.7327,0.77731,0.693,0.855,0.597,0.534,0.605,0.717,0.839,0.769,0.893,0.825,1.33,1679.47,11.56,2492491,0.861911,25000,11.8,8507.38,0.857229,25000,14.34,8564.41
3,2,ok,0.7688,0.682725,0.721,0.88,0.637,0.595,0.815,0.596,0.848,0.832,0.895,0.869,1.3,1688.75,11.48,2492491,0.68139,25000,11.37,8636.16,0.682881,25000,13.05,8477.77
4,2,ok,0.763,0.688938,0.722,0.832,0.581,0.678,0.77,0.542,0.913,0.808,0.942,0.842,1.83,1662.31,11.55,2492491,0.569964,25000,11.71,8341.17,0.557606,25000,11.7,8633.39
5,2,ok,0.7869,0.628868,0.753,0.839,0.649,0.573,0.795,0.724,0.914,0.855,0.848,0.919,1.25,1674.52,11.18,2492491,0.476647,25000,9.92,8503.21,0.474479,25000,9.85,8048.71
6,2,ok,0.8031,0.587842,0.805,0.894,0.731,0.567,0.849,0.749,0.878,0.816,0.887,0.855,1.88,1652.7,11.86,2492491,0.409613,25000,12.84,8475.94,0.400694,25000,11.06,8160.87
7,2,ok,0.8102,0.573133,0.859,0.926,0.759,0.658,0.762,0.694,0.864,0.844,0.881,0.855,1.36,1697.35,10.77,2492491,0.343613,25000,9.24,8702.17,0.338146,25000,9.87,8168.42
8,2,ok,0.809,0.600693,0.801,0.871,0.702,0.615,0.785,0.78,0.889,0.851,0.917,0.879,1.76,1666.45,10.74,2492491,0.29357,25000,11.6,8736.64,0.294172,25000,32.63,8361.74
9,2,ok,0.8162,0.587682,0.853,0.892,0.742,0.619,0.804,0.767,0.888,0.855,0.88,0.862,1.47,1670.13,11.7,2492491,0.258172,25000,10.47,8320.31,0.251409,25000,19.94,8204.34
10,2,ok,0.8101,0.621824,0.838,0.89,0.737,0.608,0.807,0.783,0.861,0.836,0.878,0.863,1.76,1656.05,10.9,2492491,0.224369,25000,20.81,8217.61,0.216936,25000,27.57,8361.65
11,2,ok,0.8112,0.650311,0.83,0.931,0.764,0.714,0.764,0.65,0.877,0.848,0.887,0.847,1.41,1652.51,11.72,2492491,0.194201,25000,25.31,8893.53,0.196379,25000,10.06,8197.34
12,2,ok,0.8193,0.648268,0.858,0.874,0.764,0.654,0.819,0.715,0.869,0.843,0.924,0.873,1.28,1686.75,11.92,2492491,0.172702,25000,10.32,8638.73,0.170365,25000,27.29,8407.65
13,2,ok,0.8162,0.661233,0.843,0.908,0.715,0.689,0.805,0.738,0.871,0.803,0.894,0.896,1.26,1665.32,10.87,2492491,0.156443,25000,11.85,8740.62,0.152738,25000,11.55,8290.7
14,2,ok,0.8172,0.687745,0.817,0.896,0.693,0.631,0.836,0.734,0.874,0.871,0.905,0.915,1.67,1660.67,10.46,2492491,0.145721,25000,14.07,8452.46,0.138376,25000,10.16,8425.41
15,2,ok,0.8213,0.701228,0.835,0.893,0.711,0.626,0.832,0.757,0.894,0.833,0.92,0.912,1.26,1678.39,10.51,2492491,0.126495,25000,13.91,8544.34,0.121595,25000,9.61,8447.55
16,2,ok,0.8207,0.703038,0.839,0.893,0.721,0.69,0.847,0.734,0.852,0.848,0.894,0.889,1.34,1658.5,10.79,2492491,0.109605,25000,11.2,8749.99,0.12228,25000,12.99,8424.82
17,2,ok,0.8224,0.720687,0.855,0.911,0.69,0.646,0.808,0.768,0.856,0.879,0.915,0.896,1.44,1649.48,11.78,2492491,0.104494,25000,10.86,8265.68,0.113442,25000,10.47,8110.12
18,2,ok,0.8217,0.723497,0.845,0.918,0.751,0.655,0.809,0.749,0.87,0.865,0.907,0.848,2.05,1765.08,11.19,2492491,0.102608,25000,28.6,8498.72,0.103384,25000,9.91,8195.96
19,2,ok,0.8165,0.763917,0.859,0.925,0.724,0.636,0.817,0.737,0.895,0.854,0.856,0.862,1.71,1661.89,11.28,2492491,0.093649,25000,11.09,8760.46,0.096241,25000,9.94,8164.92
20,2,ok,0.8178,0.765388,0.848,0.894,0.706,0.673,0.801,0.722,0.854,0.878,0.892,0.91,2.11,1673.68,11.98,2492491,0.08953,25000,10.17,8530.68,0.091944,25000,26.79,8300.89
21,2,ok,0.8142,0.797051,0.84,0.888,0.742,0.59,0.826,0.727,0.902,0.865,0.89,0.872,1.66,1670.95,10.63,2492491,0.089288,25000,12.09,8575.35,0.082099,25000,22.04,8211.99
22,2,ok,0.813,0.797455,0.883,0.894,0.709,0.644,0.781,0.763,0.905,0.812,0.869,0.87,1.27,2003.65,10.86,2492491,0.077977,25000,13.33,8494.88,0.074595,25000,11.6,8273.86
23,2,ok,0.8213,0.788327,0.873,0.908,0.739,0.676,0.803,0.69,0.884,0.868,0.894,0.878,2.02,1909.91,12.64,2492491,0.078922,25000,9.94,8657.84,0.081481,25000,33.24,8402.74
24,2,ok,0.8201,0.786723,0.847,0.911,0.711,0.673,0.802,0.721,0.901,0.865,0.899,0.871,1.3,2031.71,11.88,2492491,0.071612,25000,10.81,8687.58,0.072823,25000,11.27,8227.96
25,2,ok,0.8183,0.835704,0.835,0.887,0.725,0.672,0.783,0.744,0.869,0.876,0.891,0.901,1.34,1852.81,11.98,2492491,0.064935,25000,10.81,8584.33,0.064705,25000,9.85,8125.69
