round_id,num_clients_received,round_status,accuracy,test_loss,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9,aggregation_time_ms,eval_time_ms,round_wallclock_sec,model_bytes,client_0_train_loss,client_0_num_samples,client_0_download_ms,client_0_train_ms,client_1_train_loss,client_1_num_samples,client_1_download_ms,client_1_train_ms
1,2,ok,0.625,1.214748,0.666,0.676,0.428,0.475,0.54,0.523,0.828,0.554,0.826,0.734,6.91,3007.16,89.63,2492491,1.141999,25000,22.58,7063.42,1.125931,25000,20.92,7476.75
2,2,ok,0.7156,0.811883,0.617,0.861,0.565,0.537,0.611,0.713,0.837,0.713,0.908,0.794,2.6,2986.89,17.37,2492491,0.866013,25000,12.34,10037.53,0.855571,25000,47.36,12958.46
3,2,ok,0.7667,0.68011,0.745,0.884,0.679,0.593,0.791,0.598,0.877,0.779,0.903,0.818,3.21,2917.46,14.51,2492491,0.687323,25000,16.7,10475.74,0.674042,25000,22.37,10158.55
4,2,ok,0.7712,0.665559,0.752,0.849,0.621,0.614,0.791,0.541,0.911,0.834,0.947,0.852,1.31,1409.04,10.48,2492491,0.56686,25000,17.6,8620.48,0.552694,25000,19.13,7577.94
5,2,ok,0.7878,0.615066,0.783,0.863,0.663,0.569,0.812,0.722,0.91,0.827,0.828,0.901,1.48,1411.64,10.48,2492491,0.479258,25000,11.39,7681.69,0.468797,25000,16.72,8094.1
6,2,ok,0.8007,0.60053,0.826,0.883,0.692,0.552,0.863,0.724,0.877,0.812,0.883,0.895,1.18,1421.32,10.95,2492491,0.403054,25000,13.73,7760.31,0.39866,25000,22.16,8207.95
7,2,ok,0.8071,0.584523,0.87,0.923,0.704,0.709,0.781,0.628,0.884,0.85,0.897,0.825,1.31,1405.05,10.25,2492491,0.336936,25000,33.0,7972.84,0.341576,25000,22.2,8177.21
8,2,ok,0.806,0.604163,0.8,0.87,0.748,0.592,0.815,0.688,0.869,0.86,0.935,0.883,1.29,1417.82,10.65,2492491,0.294201,25000,10.4,8159.23,0.294838,25000,29.57,8213.58
9,2,ok,0.8118,0.617694,0.892,0.898,0.712,0.588,0.796,0.733,0.897,0.863,0.892,0.847,1.36,1394.65,13.11,2492491,0.249502,25000,10.7,9749.25,0.252556,25000,22.13,8138.85
10,2,ok,0.8071,0.645488,0.811,0.83,0.738,0.636,0.783,0.761,0.843,0.842,0.893,0.934,1.42,1423.01,12.75,2492491,0.227479,25000,11.47,10691.92,0.218719,25000,19.25,7726.12
11,2,ok,0.8153,0.634977,0.839,0.93,0.731,0.672,0.807,0.705,0.883,0.835,0.892,0.859,1.21,1383.8,13.44,2492491,0.193334,25000,12.92,11447.29,0.193378,25000,17.43,7773.65
12,2,ok,0.8112,0.686349,0.84,0.886,0.727,0.673,0.786,0.619,0.891,0.866,0.921,0.903,1.46,1409.43,12.59,2492491,0.16593,25000,15.66,10523.48,0.173822,25000,17.28,7593.94
13,2,ok,0.8094,0.689229,0.863,0.909,0.726,0.617,0.743,0.751,0.873,0.845,0.88,0.887,1.02,1405.15,12.92,2492491,0.152895,25000,31.34,10851.52,0.151829,25000,17.94,7612.85
14,2,ok,0.8125,0.677507,0.861,0.922,0.714,0.629,0.808,0.721,0.855,0.863,0.896,0.856,1.2,1405.12,12.84,2492491,0.143194,25000,40.07,10774.14,0.141204,25000,19.32,7644.22
