round_id,num_clients_received,round_status,accuracy,test_loss,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9,aggregation_time_ms,eval_time_ms,round_wallclock_sec,model_bytes,client_0_train_loss,client_0_num_samples,client_0_download_ms,client_0_train_ms,client_1_train_loss,client_1_num_samples,client_1_download_ms,client_1_train_ms
1,2,ok,0.6086,1.265232,0.606,0.657,0.521,0.487,0.419,0.42,0.836,0.596,0.786,0.758,7.68,2816.59,7.72,2492491,1.144805,25000,12.64,7609.33,1.122863,25000,27.68,7191.7
2,2,ok,0.7295,0.779731,0.687,0.847,0.595,0.547,0.615,0.658,0.849,0.771,0.879,0.847,3.19,2741.71,10.89,2492491,0.865346,25000,17.13,10381.74,0.852946,25000,19.91,7781.72
3,2,ok,0.7616,0.701757,0.724,0.906,0.63,0.639,0.759,0.531,0.884,0.824,0.89,0.829,2.98,2702.55,11.3,2492491,0.687376,25000,19.75,10756.2,0.678648,25000,21.07,7963.24
4,2,ok,0.7696,0.664265,0.747,0.814,0.617,0.642,0.765,0.539,0.925,0.83,0.937,0.88,2.13,2724.53,11.31,2492491,0.567895,25000,21.07,10765.6,0.554774,25000,18.77,8454.89
5,2,ok,0.7958,0.600756,0.796,0.855,0.661,0.678,0.786,0.666,0.903,0.861,0.863,0.889,2.68,2636.63,11.11,2492491,0.477292,25000,16.63,10563.67,0.476122,25000,22.85,8419.57
6,2,ok,0.8017,0.589353,0.837,0.902,0.699,0.576,0.856,0.695,0.871,0.832,0.866,0.883,2.13,2598.9,10.75,2492491,0.410329,25000,16.7,10206.89,0.400493,25000,20.98,8184.73
7,2,ok,0.8001,0.590197,0.806,0.924,0.728,0.723,0.76,0.652,0.83,0.861,0.905,0.812,3.43,2617.9,10.72,2492491,0.345859,25000,26.29,10169.5,0.350393,25000,20.25,8127.76
8,2,ok,0.8092,0.594928,0.81,0.847,0.72,0.661,0.805,0.71,0.886,0.835,0.919,0.899,1.84,2603.4,10.77,2492491,0.285474,25000,15.97,10228.91,0.297863,25000,21.32,8358.6
9,2,ok,0.8116,0.596713,0.834,0.918,0.749,0.644,0.761,0.707,0.895,0.837,0.905,0.866,3.32,2716.07,10.72,2492491,0.251341,25000,29.47,10167.32,0.255122,25000,21.53,8743.8
10,2,ok,0.8083,0.630103,0.801,0.902,0.72,0.55,0.82,0.773,0.855,0.862,0.896,0.904,3.35,2700.09,11.29,2492491,0.219563,25000,33.19,10728.29,0.226093,25000,22.58,8568.28
11,2,ok,0.8068,0.655261,0.847,0.94,0.75,0.677,0.701,0.697,0.888,0.847,0.868,0.853,2.7,2604.58,11.21,2492491,0.197664,25000,32.35,10655.94,0.197797,25000,21.06,8629.35
12,2,ok,0.8107,0.645614,0.816,0.884,0.758,0.645,0.741,0.684,0.879,0.876,0.931,0.893,2.68,2785.01,11.31,2492491,0.174313,25000,15.09,10772.01,0.176741,25000,21.91,8584.07
13,2,ok,0.8087,0.689565,0.854,0.931,0.719,0.662,0.766,0.664,0.88,0.837,0.879,0.895,4.06,2743.16,10.31,2492491,0.151098,25000,14.55,9771.06,0.14748,25000,21.26,8457.36
14,2,ok,0.8168,0.676326,0.819,0.942,0.732,0.642,0.825,0.747,0.855,0.872,0.895,0.839,4.13,2694.2,8.95,2492491,0.144662,25000,14.02,8046.08,0.142285,25000,34.27,8222.42
15,2,ok,0.8128,0.719883,0.833,0.927,0.736,0.597,0.791,0.706,0.912,0.869,0.886,0.871,2.88,2775.18,8.47,2492491,0.130963,25000,35.87,8011.46,0.131037,25000,19.1,7929.0
16,2,ok,0.81,0.713155,0.836,0.906,0.718,0.637,0.858,0.741,0.828,0.817,0.875,0.884,4.39,2726.49,8.57,2492491,0.121421,25000,13.21,7831.37,0.112287,25000,25.42,8013.18
17,2,ok,0.8132,0.758203,0.845,0.914,0.645,0.572,0.794,0.818,0.87,0.866,0.912,0.896,2.95,2756.01,8.61,2492491,0.110269,25000,11.83,7822.96,0.109985,25000,23.3,8058.67
18,2,ok,0.815,0.725962,0.844,0.927,0.771,0.642,0.732,0.743,0.875,0.863,0.887,0.866,3.91,2738.31,8.58,2492491,0.105118,25000,13.12,7848.99,0.105436,25000,21.37,8033.9
19,2,ok,0.8106,0.761101,0.832,0.925,0.725,0.575,0.802,0.716,0.876,0.863,0.901,0.891,2.03,2685.65,8.59,2492491,0.100623,25000,13.6,8309.34,0.091849,25000,20.89,8047.16
20,2,ok,0.8123,0.743916,0.852,0.893,0.689,0.681,0.798,0.71,0.846,0.871,0.885,0.898,3.65,2703.75,11.11,2492491,0.096169,25000,30.8,10719.39,0.083892,25000,21.9,8074.12
21,2,ok,0.812,0.795413,0.846,0.91,0.709,0.668,0.8,0.713,0.862,0.857,0.898,0.857,4.57,2721.37,11.23,2492491,0.085713,25000,14.89,10687.16,0.08125,25000,20.05,8240.76
22,2,ok,0.8136,0.78546,0.848,0.919,0.703,0.688,0.801,0.707,0.875,0.841,0.875,0.879,3.04,2718.97,11.48,2492491,0.078844,25000,41.23,10909.09,0.076107,25000,21.88,7940.5
23,2,ok,0.8158,0.800836,0.859,0.922,0.736,0.605,0.785,0.753,0.873,0.842,0.917,0.866,3.65,2735.49,11.41,2492491,0.076465,25000,18.21,10858.6,0.077864,25000,23.34,8451.05
24,2,ok,0.8116,0.822978,0.839,0.906,0.712,0.657,0.809,0.743,0.853,0.836,0.876,0.885,3.55,2775.38,11.45,2492491,0.071376,25000,38.75,10884.86,0.065899,25000,21.38,8207.69
25,2,ok,0.8132,0.829216,0.867,0.918,0.753,0.614,0.758,0.775,0.875,0.818,0.893,0.861,5.03,2725.98,11.46,2492491,0.07282,25000,34.77,10908.28,0.069674,25000,26.61,8286.4
26,2,ok,0.8115,0.847966,0.84,0.921,0.735,0.608,0.753,0.747,0.89,0.839,0.906,0.876,1.94,2720.09,11.47,2492491,0.059328,25000,17.59,10903.46,0.0689,25000,21.42,8152.52
27,2,ok,0.8153,0.857074,0.822,0.922,0.727,0.648,0.843,0.711,0.867,0.832,0.895,0.886,3.26,2744.4,11.68,2492491,0.058844,25000,38.95,11098.75,0.061364,25000,20.84,8239.2
28,2,ok,0.8132,0.869896,0.837,0.894,0.672,0.677,0.791,0.71,0.881,0.879,0.905,0.886,2.25,2727.13,11.56,2492491,0.057155,25000,20.39,11011.84,0.064164,25000,24.58,8188.51
29,2,ok,0.8144,0.838878,0.841,0.931,0.721,0.679,0.809,0.712,0.865,0.843,0.895,0.848,2.69,2702.3,11.48,2492491,0.059539,25000,25.19,10926.1,0.049368,25000,24.47,8359.83
30,2,ok,0.8149,0.86379,0.84,0.912,0.683,0.658,0.797,0.732,0.894,0.853,0.885,0.895,4.89,2775.87,11.26,2492491,0.056252,25000,32.48,10698.95,0.051608,25000,22.34,8001.13
