round_id,num_clients_received,round_status,accuracy,test_loss,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9,aggregation_time_ms,eval_time_ms,round_wallclock_sec,model_bytes,client_0_train_loss,client_0_num_samples,client_0_download_ms,client_0_train_ms,client_1_train_loss,client_1_num_samples,client_1_download_ms,client_1_train_ms
1,1,partial,0.6129,1.088354,0.471,0.882,0.451,0.565,0.663,0.39,0.743,0.63,0.849,0.485,5.71,2868.06,60.02,2492491,1.153277,22500,11.09,7575.73,0.0,0,0.0,0.0
2,1,partial,0.6758,0.954336,0.683,0.725,0.663,0.303,0.532,0.586,0.921,0.692,0.814,0.839,2.26,2781.37,60.02,2492491,0.852102,22500,25.38,6985.03,0.0,0,0.0,0.0
3,2,ok,0.7392,0.754392,0.764,0.871,0.696,0.509,0.583,0.684,0.906,0.691,0.853,0.835,3.22,2749.06,17.55,2492491,0.655405,22500,33.1,7168.76,0.734593,27500,18.04,7900.23
4,2,ok,0.7765,0.64231,0.826,0.882,0.693,0.62,0.689,0.691,0.846,0.812,0.887,0.819,5.12,2769.47,9.43,2492491,0.544571,22500,27.66,7318.16,0.607949,27500,40.57,8511.51
5,2,ok,0.7828,0.640819,0.822,0.863,0.666,0.666,0.69,0.703,0.801,0.827,0.89,0.9,4.04,2844.26,9.42,2492491,0.46535,22500,12.68,7253.31,0.515323,27500,21.95,8517.63
6,2,ok,0.793,0.631301,0.82,0.893,0.643,0.577,0.736,0.808,0.868,0.836,0.89,0.859,2.8,2749.73,9.44,2492491,0.408873,22500,13.03,7570.61,0.430423,27500,23.11,8535.22
7,2,ok,0.7959,0.616315,0.859,0.883,0.666,0.578,0.723,0.794,0.882,0.815,0.877,0.882,4.19,2793.84,9.58,2492491,0.35661,22500,13.42,7485.87,0.371476,27500,20.65,8677.42
8,2,ok,0.8031,0.622218,0.85,0.917,0.704,0.682,0.772,0.732,0.877,0.804,0.871,0.822,4.72,2811.53,9.64,2492491,0.31866,22500,12.93,7667.17,0.320665,27500,22.37,8719.31
9,2,ok,0.8042,0.612845,0.866,0.902,0.758,0.602,0.811,0.684,0.862,0.845,0.88,0.832,2.76,2813.33,9.56,2492491,0.277655,22500,13.16,7566.35,0.271879,27500,21.23,8662.79
10,2,ok,0.8116,0.623155,0.871,0.903,0.746,0.638,0.8,0.705,0.864,0.837,0.902,0.85,2.6,2802.95,9.69,2492491,0.25869,22500,14.08,7587.41,0.246942,27500,22.44,8782.61
11,2,ok,0.8063,0.668162,0.885,0.884,0.683,0.588,0.79,0.788,0.842,0.872,0.852,0.879,5.6,2792.39,9.72,2492491,0.226563,22500,13.38,7635.0,0.211896,27500,20.67,8818.64
12,2,ok,0.8143,0.66665,0.836,0.881,0.697,0.628,0.828,0.727,0.895,0.849,0.912,0.89,3.2,2763.02,9.18,2492491,0.205313,22500,19.39,7681.19,0.184783,27500,20.37,8629.36
13,2,ok,0.8076,0.679217,0.849,0.904,0.728,0.576,0.805,0.722,0.886,0.847,0.897,0.862,3.43,2674.8,9.22,2492491,0.184573,22500,28.3,7585.93,0.165737,27500,20.51,8675.29
14,2,ok,0.8089,0.710053,0.842,0.915,0.663,0.747,0.801,0.697,0.865,0.831,0.91,0.818,3.0,2812.43,9.59,2492491,0.174399,22500,13.55,7627.12,0.147824,27500,20.78,8664.38
15,2,ok,0.8131,0.71967,0.844,0.936,0.656,0.651,0.811,0.765,0.865,0.866,0.887,0.85,2.6,2781.38,9.48,2492491,0.158219,22500,28.32,7542.28,0.143086,27500,20.51,8581.14
16,2,ok,0.8059,0.72395,0.851,0.915,0.711,0.595,0.786,0.816,0.853,0.837,0.879,0.816,3.98,2775.91,9.5,2492491,0.144753,22500,13.96,7677.85,0.127482,27500,19.63,8601.89
17,2,ok,0.809,0.736601,0.852,0.925,0.702,0.602,0.803,0.742,0.907,0.826,0.893,0.838,1.82,2810.99,9.12,2492491,0.142912,22500,13.22,7269.51,0.115117,27500,23.08,8568.7
18,2,ok,0.8082,0.760499,0.856,0.91,0.688,0.613,0.827,0.789,0.856,0.847,0.835,0.861,2.57,2822.17,9.76,2492491,0.129525,22500,15.16,7218.73,0.115043,27500,37.23,8825.3
19,2,ok,0.813,0.787221,0.83,0.884,0.767,0.648,0.806,0.728,0.84,0.832,0.918,0.877,3.6,2786.6,9.37,2492491,0.111794,22500,13.12,7232.36,0.093762,27500,20.14,8469.26
20,2,ok,0.8172,0.777994,0.857,0.897,0.718,0.639,0.814,0.711,0.877,0.862,0.907,0.89,2.95,2822.3,9.62,2492491,0.117153,22500,11.88,7541.07,0.090602,27500,20.62,8654.48
21,2,ok,0.8135,0.787322,0.886,0.909,0.706,0.664,0.798,0.715,0.865,0.835,0.882,0.875,4.03,2789.06,9.54,2492491,0.097155,22500,15.21,7612.75,0.083328,27500,24.09,8634.81
22,2,ok,0.8126,0.771943,0.878,0.915,0.697,0.633,0.812,0.777,0.847,0.819,0.875,0.873,2.3,2766.99,10.07,2492491,0.105099,22500,12.25,7512.57,0.080978,27500,22.19,8857.4
23,2,ok,0.8138,0.81064,0.845,0.899,0.731,0.647,0.777,0.743,0.897,0.825,0.881,0.893,3.64,2760.29,10.0,2492491,0.08978,22500,14.21,7512.49,0.079766,27500,21.49,9074.19
24,2,ok,0.8129,0.823855,0.837,0.905,0.709,0.652,0.811,0.715,0.893,0.845,0.892,0.87,2.31,2814.45,9.92,2492491,0.08381,22500,32.97,7557.16,0.072568,27500,20.97,9029.55
25,2,ok,0.8186,0.812734,0.858,0.911,0.723,0.67,0.796,0.78,0.851,0.838,0.893,0.866,3.03,2744.43,9.58,2492491,0.083318,22500,27.88,7449.89,0.069641,27500,20.71,8686.68
26,2,ok,0.8146,0.837996,0.872,0.927,0.731,0.617,0.792,0.733,0.876,0.842,0.892,0.864,3.96,2881.74,9.73,2492491,0.076566,22500,13.65,7273.52,0.061126,27500,21.02,8830.8
27,2,ok,0.8163,0.857666,0.848,0.93,0.716,0.676,0.835,0.678,0.867,0.842,0.904,0.867,3.05,2851.75,9.34,2492491,0.08408,22500,13.73,7252.93,0.058494,27500,21.5,8790.97
28,2,ok,0.8106,0.871395,0.851,0.911,0.702,0.667,0.815,0.729,0.825,0.826,0.892,0.888,3.74,2825.51,9.21,2492491,0.068318,22500,32.36,7309.01,0.057873,27500,22.57,8655.9
29,2,ok,0.816,0.866974,0.852,0.921,0.728,0.661,0.804,0.72,0.891,0.859,0.869,0.855,2.31,2808.71,9.15,2492491,0.069033,22500,9.82,7199.26,0.06108,27500,21.27,8606.71
30,2,ok,0.8162,0.875673,0.85,0.914,0.729,0.652,0.819,0.72,0.877,0.855,0.872,0.874,4.06,2803.06,9.18,2492491,0.068781,22500,48.61,7300.42,0.052619,27500,21.64,8624.35
