round_id,num_clients_received,round_status,accuracy,test_loss,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9,aggregation_time_ms,eval_time_ms,round_wallclock_sec,model_bytes,client_0_train_loss,client_0_num_samples,client_0_download_ms,client_0_train_ms,client_1_train_loss,client_1_num_samples,client_1_download_ms,client_1_train_ms
1,2,ok,0.6303,1.231552,0.671,0.604,0.497,0.593,0.512,0.437,0.777,0.573,0.829,0.81,6.85,3037.0,10.96,2492491,1.149768,25000,37.97,7852.13,1.118277,25000,20.43,7406.08
2,2,ok,0.7185,0.80762,0.645,0.863,0.568,0.549,0.602,0.667,0.853,0.72,0.921,0.797,5.61,2922.52,13.8,2492491,0.863873,25000,28.6,10079.9,0.851988,25000,18.87,7656.92
3,2,ok,0.7652,0.678629,0.771,0.913,0.651,0.574,0.774,0.601,0.877,0.815,0.886,0.79,3.71,2902.56,14.76,2492491,0.682345,25000,45.59,10705.58,0.670211,25000,20.26,7823.18
4,2,ok,0.7728,0.657488,0.77,0.852,0.596,0.66,0.763,0.548,0.917,0.811,0.946,0.865,3.06,3002.44,15.37,2492491,0.564303,25000,23.44,11146.23,0.551842,25000,21.8,7738.5
5,2,ok,0.791,0.607972,0.766,0.864,0.626,0.642,0.803,0.731,0.878,0.845,0.842,0.913,2.13,2895.9,14.41,2492491,0.475258,25000,38.95,10441.35,0.46977,25000,21.98,7693.28
6,2,ok,0.8021,0.581245,0.809,0.872,0.717,0.581,0.844,0.716,0.873,0.836,0.883,0.89,2.31,2921.92,15.18,2492491,0.403749,25000,17.93,11101.36,0.397851,25000,18.76,7627.93
7,2,ok,0.8097,0.580736,0.844,0.907,0.742,0.723,0.782,0.643,0.844,0.844,0.929,0.839,3.12,2950.22,14.82,2492491,0.334356,25000,15.33,10742.94,0.340255,25000,18.83,7807.03
8,2,ok,0.811,0.605946,0.851,0.896,0.772,0.632,0.764,0.69,0.883,0.838,0.933,0.851,5.14,2895.08,14.92,2492491,0.288518,25000,13.34,10922.33,0.293404,25000,17.33,7738.56
9,2,ok,0.8098,0.627695,0.871,0.901,0.781,0.695,0.791,0.652,0.883,0.831,0.89,0.803,4.75,2930.68,14.26,2492491,0.254851,25000,30.81,10162.58,0.244075,25000,17.47,7744.36
10,2,ok,0.8096,0.62418,0.848,0.905,0.768,0.625,0.789,0.769,0.849,0.793,0.891,0.859,3.21,2866.29,13.92,2492491,0.224207,25000,13.01,9948.59,0.224376,25000,17.11,8438.12
11,2,ok,0.8143,0.64111,0.82,0.928,0.741,0.715,0.818,0.694,0.849,0.848,0.856,0.874,2.59,2888.57,14.73,2492491,0.196589,25000,14.18,10652.38,0.192822,25000,17.43,8344.9
12,2,ok,0.8124,0.654,0.824,0.867,0.736,0.681,0.777,0.694,0.852,0.863,0.939,0.891,2.82,2917.33,14.69,2492491,0.175934,25000,17.26,10603.9,0.178032,25000,19.1,8239.49
13,2,ok,0.8119,0.694239,0.866,0.906,0.682,0.692,0.805,0.675,0.862,0.86,0.872,0.899,4.33,2935.73,14.83,2492491,0.151974,25000,35.96,10728.24,0.144189,25000,19.28,8350.94
14,2,ok,0.8161,0.661944,0.835,0.914,0.761,0.663,0.778,0.716,0.851,0.866,0.904,0.873,3.56,2900.66,14.17,2492491,0.145285,25000,12.11,10172.64,0.140376,25000,18.9,8279.16
