round_id,num_clients_received,round_status,accuracy,test_loss,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9,aggregation_time_ms,eval_time_ms,round_wallclock_sec,client_0_train_loss,client_0_num_samples,client_1_train_loss,client_1_num_samples
1,2,ok,0.9852,0.047059,0.995918,0.999119,0.987403,0.993069,0.995927,0.986547,0.984342,0.963035,0.972279,0.973241,3.67,1170.56,22.69,0.067102,30000,0.06633,30000
2,2,ok,0.9902,0.028757,0.997959,0.995595,0.993217,0.99604,0.984725,0.986547,0.990605,0.987354,0.982546,0.986125,0.57,1117.15,9.6,0.043996,30000,0.038158,30000
3,2,ok,0.9917,0.025748,0.99898,0.999119,0.997093,0.99703,0.992872,0.988789,0.984342,0.988327,0.989733,0.979187,2.69,1113.48,9.67,0.030428,30000,0.027118,30000
4,2,ok,0.9933,0.021213,0.997959,0.999119,0.995155,0.99802,0.990835,0.986547,0.988518,0.996109,0.99384,0.985134,2.65,1095.23,9.65,0.023013,30000,0.022135,30000
5,2,ok,0.9927,0.021529,0.997959,0.995595,0.993217,0.99703,0.986762,0.991031,0.989562,0.990272,0.99384,0.99108,2.05,1093.58,9.78,0.018439,30000,0.016763,30000
6,2,ok,0.9928,0.023112,0.997959,0.999119,0.995155,0.99703,0.990835,0.992152,0.988518,0.986381,0.994867,0.985134,2.18,1141.23,9.78,0.015574,30000,0.013179,30000
7,2,ok,0.9945,0.01915,0.994898,0.999119,0.997093,0.99703,0.996945,0.992152,0.994781,0.990272,0.99692,0.985134,1.85,1107.75,9.72,0.012852,30000,0.009718,30000
8,2,ok,0.9928,0.021539,0.997959,0.999119,0.992248,0.99703,0.988798,0.991031,0.990605,0.9893,0.992813,0.988107,1.94,1112.54,9.78,0.010608,30000,0.010789,30000
9,2,ok,0.993,0.021785,0.996939,0.997357,0.996124,0.99703,0.992872,0.992152,0.990605,0.987354,0.994867,0.984143,2.13,1100.53,9.76,0.012146,30000,0.009114,30000
10,2,ok,0.9934,0.024449,0.997959,1.0,0.995155,0.99703,0.992872,0.987668,0.991649,0.987354,0.992813,0.990089,1.99,1106.2,9.81,0.010371,30000,0.007347,30000
11,2,ok,0.9922,0.024664,0.997959,0.999119,0.992248,0.99901,0.992872,0.993274,0.98643,0.990272,0.985626,0.984143,1.97,1124.8,10.02,0.007575,30000,0.007089,30000
12,2,ok,0.9939,0.022961,0.996939,1.0,0.992248,0.99901,0.995927,0.991031,0.988518,0.994163,0.99384,0.986125,2.06,1102.06,9.98,0.004856,30000,0.00716,30000
13,2,ok,0.994,0.024812,0.997959,1.0,0.989341,0.99802,0.99389,0.994395,0.989562,0.994163,0.99384,0.988107,2.34,1105.98,10.0,0.006769,30000,0.004191,30000
14,2,ok,0.9932,0.022946,0.997959,0.997357,0.994186,0.99901,0.996945,0.991031,0.992693,0.991245,0.994867,0.976214,1.86,1093.63,9.93,0.006482,30000,0.005821,30000
15,2,ok,0.9937,0.023963,0.996939,0.999119,0.992248,0.99802,0.99389,0.988789,0.991649,0.994163,0.99076,0.990089,2.01,1112.7,9.96,0.007449,30000,0.004358,30000
16,2,ok,0.9939,0.02455,0.997959,0.999119,0.989341,0.99901,0.996945,0.992152,0.991649,0.996109,0.992813,0.983152,1.92,1101.11,9.82,0.004686,30000,0.003257,30000
17,2,ok,0.9931,0.02514,0.996939,1.0,0.991279,0.99802,0.997963,0.98991,0.990605,0.992218,0.991786,0.981169,2.5,1094.23,9.88,0.004627,30000,0.004246,30000
18,2,ok,0.9945,0.022948,0.997959,1.0,0.994186,0.99604,0.996945,0.993274,0.990605,0.993191,0.994867,0.987116,2.15,1090.63,9.95,0.003951,30000,0.003054,30000
19,2,ok,0.9938,0.024352,0.997959,0.999119,0.993217,0.99802,0.995927,0.992152,0.988518,0.993191,0.99384,0.985134,2.2,1098.62,9.88,0.004222,30000,0.002504,30000
20,2,ok,0.9938,0.024376,0.99898,1.0,0.994186,0.99703,0.99389,0.98991,0.991649,0.990272,0.994867,0.986125,2.25,1104.56,9.79,0.004153,30000,0.002934,30000
