round_id,num_clients_received,round_status,accuracy,test_loss,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9,aggregation_time_ms,eval_time_ms,round_wallclock_sec,client_0_train_loss,client_0_num_samples,client_1_train_loss,client_1_num_samples
1,1,partial,0.9831,0.053061,0.992857,0.997357,0.99031,0.993069,0.99389,0.98991,0.977035,0.955253,0.980493,0.960357,3.51,1177.69,46.19,0.067102,30000,0.0,0
2,1,partial,0.9878,0.035469,0.988776,0.994714,0.993217,0.99505,0.983707,0.991031,0.991649,0.98249,0.974333,0.982161,0.7,1099.97,46.11,0.039742,30000,0.0,0
3,2,ok,0.9923,0.025216,0.996939,1.0,0.993217,0.99505,0.992872,0.993274,0.988518,0.988327,0.986653,0.987116,0.79,1104.4,30.75,0.025282,30000,0.03446,30000
4,2,ok,0.9925,0.024274,0.997959,0.998238,0.991279,0.99703,0.98167,0.98991,0.988518,0.993191,0.992813,0.993062,2.54,1100.4,12.48,0.018858,30000,0.025523,30000
5,2,ok,0.9922,0.021259,0.996939,0.996476,0.995155,0.99901,0.995927,0.987668,0.988518,0.9893,0.985626,0.986125,2.55,1089.45,12.34,0.016281,30000,0.018548,30000
6,2,ok,0.9936,0.020398,0.996939,0.999119,0.995155,0.99703,0.991853,0.992152,0.988518,0.9893,0.99384,0.99108,2.99,1090.01,12.17,0.013729,30000,0.018564,30000
7,2,ok,0.9934,0.02182,0.995918,0.994714,0.992248,0.99604,0.98778,0.996637,0.992693,0.996109,0.992813,0.989098,2.08,1099.03,12.6,0.010064,30000,0.011928,30000
8,1,partial,0.9924,0.026621,0.997959,0.999119,0.998062,0.99604,0.986762,0.993274,0.984342,0.986381,0.992813,0.988107,0.61,1091.04,46.11,0.009005,30000,0.0,0
9,1,partial,0.9913,0.029293,0.996939,0.996476,0.994186,0.994059,0.991853,0.992152,0.993737,0.991245,0.986653,0.975223,0.53,1096.35,46.12,0.010759,30000,0.0,0
10,1,partial,0.9922,0.02804,0.997959,0.996476,0.992248,0.99604,0.98778,0.992152,0.985386,0.991245,0.98768,0.994054,0.57,1094.24,46.1,0.010215,30000,0.0,0
11,1,partial,0.9907,0.030892,0.995918,0.996476,0.993217,0.994059,0.98778,0.993274,0.985386,0.984436,0.99076,0.985134,0.49,1091.91,46.11,0.005259,30000,0.0,0
12,2,ok,0.9928,0.023568,0.997959,0.999119,0.995155,0.994059,0.992872,0.993274,0.98643,0.9893,0.988706,0.990089,0.66,1103.75,11.69,0.004953,30000,0.011335,30000
13,2,ok,0.9939,0.022196,0.996939,1.0,0.995155,0.99802,0.991853,0.98991,0.989562,0.994163,0.992813,0.989098,2.4,1093.64,19.66,0.004353,30000,0.00897,30000
14,2,ok,0.9936,0.023523,0.997959,1.0,0.993217,0.99802,0.989817,0.991031,0.988518,0.996109,0.991786,0.988107,2.86,1092.28,17.77,0.003001,30000,0.007046,30000
15,2,ok,0.9941,0.02228,0.99898,1.0,0.994186,0.99802,0.997963,0.991031,0.989562,0.9893,0.99384,0.987116,1.99,1085.31,23.79,0.004566,30000,0.006649,30000
16,2,ok,0.9938,0.023946,0.996939,1.0,0.993217,0.99703,0.994908,0.98991,0.990605,0.993191,0.99384,0.987116,1.98,1089.36,24.29,0.004598,30000,0.003949,30000
