round_id,num_clients_received,round_status,accuracy,test_loss,acc_class_0,acc_class_1,acc_class_2,acc_class_3,acc_class_4,acc_class_5,acc_class_6,acc_class_7,acc_class_8,acc_class_9,aggregation_time_ms,eval_time_ms,round_wallclock_sec,client_0_train_loss,client_0_num_samples,client_1_train_loss,client_1_num_samples
1,2,ok,0.9217,0.543991,0.995918,0.998238,0.916667,0.985149,0.967413,0.552691,0.970772,0.980545,0.917864,0.884044,3.15,1166.57,20.43,0.025488,30596,0.037314,29404
2,2,ok,0.9436,0.17115,0.993878,0.995595,0.949612,0.929703,0.690428,0.985426,0.980167,0.990272,0.945585,0.969277,0.76,1118.16,9.76,0.013395,30596,0.026516,29404
3,2,ok,0.9774,0.086756,0.989796,0.993833,0.966085,0.982178,0.986762,0.974215,0.983299,0.981518,0.986653,0.928642,2.67,1117.32,9.87,0.009614,30596,0.020885,29404
4,2,ok,0.9782,0.067461,0.994898,0.998238,0.950581,0.954455,0.982688,0.98991,0.985386,0.990272,0.98152,0.95441,2.39,1115.16,9.81,0.00722,30596,0.015049,29404
5,2,ok,0.9813,0.055586,0.991837,0.993833,0.968023,0.974257,0.97556,0.977578,0.98643,0.991245,0.98152,0.971259,2.82,1110.68,10.55,0.005514,30596,0.011651,29404
6,2,ok,0.9823,0.051449,0.991837,0.988546,0.976744,0.982178,0.983707,0.971973,0.987474,0.990272,0.980493,0.968285,2.1,1096.69,9.52,0.004186,30596,0.011212,29404
7,2,ok,0.9829,0.048966,0.988776,0.993833,0.98062,0.982178,0.965377,0.986547,0.989562,0.9893,0.973306,0.978196,2.1,1107.67,9.64,0.003695,30596,0.009184,29404
8,2,ok,0.9855,0.042995,0.995918,0.994714,0.985465,0.983168,0.983707,0.98991,0.982255,0.990272,0.980493,0.968285,2.07,1112.84,9.95,0.00284,30596,0.010302,29404
9,2,ok,0.9851,0.044441,0.990816,0.99207,0.985465,0.969307,0.980652,0.996637,0.991649,0.990272,0.98768,0.967294,2.08,1115.52,9.92,0.001564,30596,0.007081,29404
10,2,ok,0.9857,0.042681,0.994898,0.996476,0.982558,0.986139,0.973523,0.992152,0.982255,0.995136,0.977413,0.975223,1.92,1107.81,9.88,0.002578,30596,0.005721,29404
11,2,ok,0.9867,0.042316,0.993878,0.992952,0.98062,0.99604,0.989817,0.986547,0.98643,0.991245,0.983573,0.965312,2.62,1103.68,9.86,0.002392,30596,0.004582,29404
12,2,ok,0.9858,0.042814,0.991837,0.985903,0.977713,0.992079,0.986762,0.994395,0.989562,0.985409,0.983573,0.97225,1.86,1103.48,10.57,0.00166,30596,0.004297,29404
13,2,ok,0.9854,0.042709,0.995918,0.994714,0.986434,0.992079,0.97556,0.971973,0.985386,0.990272,0.977413,0.981169,1.95,1109.97,9.64,0.001284,30596,0.003891,29404
14,2,ok,0.987,0.043938,0.995918,0.997357,0.977713,0.990099,0.973523,0.993274,0.991649,0.994163,0.974333,0.981169,2.05,1107.95,9.64,0.000351,30596,0.004212,29404
15,2,ok,0.9858,0.042406,0.993878,0.990308,0.988372,0.986139,0.96945,0.994395,0.98643,0.988327,0.985626,0.975223,2.29,1102.52,9.79,0.000619,30596,0.003986,29404
16,2,ok,0.9865,0.043913,0.995918,0.99207,0.991279,0.979208,0.994908,0.994395,0.970772,0.986381,0.98768,0.97225,2.01,1100.39,9.95,0.001077,30596,0.001286,29404
17,2,ok,0.9851,0.045136,0.994898,0.995595,0.981589,0.984158,0.96945,0.991031,0.988518,0.995136,0.980493,0.969277,2.21,1103.0,9.91,0.000624,30596,0.004136,29404
18,2,ok,0.9856,0.041024,0.993878,0.991189,0.98062,0.992079,0.985743,0.974215,0.987474,0.992218,0.98768,0.969277,1.89,1099.46,9.91,0.000804,30596,0.003407,29404
19,2,ok,0.9846,0.042526,0.991837,0.989427,0.986434,0.99604,0.965377,0.976457,0.989562,0.988327,0.99076,0.970268,1.92,1111.24,10.64,0.000446,30596,0.003108,29404
20,2,ok,0.9833,0.049186,0.995918,0.996476,0.985465,0.950495,0.989817,0.993274,0.985386,0.985409,0.98768,0.96333,2.02,1102.19,9.64,0.000558,30596,0.001754,29404
